,Mn/Fe,Mn/Sr,Sr/Ca
SJ-1_0,0.392393391,2.240616976,0.00113099
SJ-1_1,0.317557109,2.034953764,0.00156159
SJ-1_2,0.135450676,0.847395423,0.00187023
SJ-1_3,0.19243971,0.283144915,0.001810143
SJ-1_4,0.181532495,0.310386449,0.00110216
SJ-1_5,0.231610058,0.327862409,0.000912912
SJ-1_6,0.25519114,0.393128317,0.001153616
SJ-1_7,0.235457939,0.510299401,0.001282472
SJ-1_8,0.231978394,0.67066304,0.00111749
SJ-1_9,0.228988361,0.597478284,0.000971856
SJ-1_10,0.210562168,0.388680448,0.001088334
SJ-1_11,0.238813065,0.382494319,0.001117198
SJ-1_12,0.222559885,0.366400407,0.000966558
SJ-1_13,0.18321311,0.346576133,0.000965427
SJ-1_14,0.218385637,0.426951005,0.001019773
SJ-1_15,0.192623836,0.366634525,0.001143223
SJ-1_16,0.185980613,0.344534905,0.000998357
SJ-1_17,0.181972956,0.326152817,0.000926533
SJ-1_18,0.161385613,0.353003528,0.001032449
SJ-1_19,0.153334356,0.358053484,0.001363786
SJ-1_20,0.167704911,0.387901418,0.001207061
SJ-1_21,0.153409777,0.327828517,0.001133091
SJ-1_22,0.206416315,0.345414678,0.001036464
SJ-1_23,0.230885979,0.33934462,0.000919023
SJ-1_24,0.270017447,0.588095714,0.000960576
SJ-1_25,0.194556932,0.549852485,0.001118578
SJ-1_26,0.139046865,0.329638808,0.00109222
SJ-1_27,0.093254701,0.365162737,0.001161204
SJ-1_28,0.104323297,0.411589861,0.001317317
SJ-1_29,0.136756486,0.320929818,0.001718697
SJ-1_30,0.143980092,0.292235216,0.002540925
SJ-1_31,0.177308762,0.290167106,0.002236084
SJ-1_32,0.175890156,0.364612449,0.001115119
SJ-1_33,0.118524347,0.228542881,0.001378656
SJ-1_34,0.092233822,0.245284519,0.001383919
SJ-1_35,0.090847602,0.287834018,0.001375431
SJ-1_36,0.104406985,0.243484959,0.001927902
SJ-1_37,0.113410886,0.191244018,0.001877965
SJ-1_38,0.117703211,0.166849799,0.001472661
SJ-1_39,0.117122377,0.143196906,0.001691818
SJ-1_40,0.116541543,0.119544012,0.001910976
SJ-1_41,0.069516425,0.098981903,0.001734673
SJ-1_42,0.187940743,0.169626655,0.001641675
SJ-1_43,0.188413946,0.156989432,0.002192925
SJ-1_44,0.142449978,0.389382762,0.002003471
SJ-1_45,0.148545298,0.445710705,0.0016887
SJ-1_46,0.112704097,0.289514194,0.001742906
SJ-1_47,0.140161218,0.32511723,0.001227158
SJ-1_48,0.138210764,0.349693933,0.001174859
SJ-1_49,0.155854277,0.371948292,0.00180048
SJ-1_50,0.15183607,0.380692415,0.001769132
SJ-1_51,0.126467268,0.380064343,0.001069707
SJ-1_52,0.137531173,0.474548974,0.000973184
SJ-1_53,0.133982654,0.449790646,0.001419756
SJ-1_54,0.132647802,0.427254035,0.001429631
SJ-1_55,0.137509799,0.405620434,0.001317169
SJ-1_56,0.133098925,0.342474325,0.000908549
SJ-1_57,0.164151365,0.402795476,0.001175735
SJ-1_58,0.181046837,0.26793748,0.004060529
SJ-1_59,0.164710284,0.316952011,0.003177463
SJ-1_60,0.160857893,0.444520877,0.001226793
SJ-1_61,0.129356441,0.456125925,0.001025707
SJ-1_62,0.120909327,0.430654751,0.00090704
SJ-1_63,0.076183632,0.370670301,0.001089589
SJ-1_64,0.055911845,0.335538509,0.001128445
SJ-1_65,0.080105966,0.373487166,0.000982887
SJ-1_66,0.10256145,0.438178685,0.000925196
SJ-1_67,0.147526887,0.605144106,0.001031998
SJ-1_68,0.111464679,0.40815409,0.001202451
SJ-1_69,0.071217499,0.447231213,0.000741277
SJ-1_70,0.080154358,0.583179456,0.001004711
SJ-1_71,0.103244531,0.570635666,0.000675041
SJ-1_72,0.116724974,0.603035119,0.001131288
SJ-1_73,0.137190969,0.56045627,0.001204731
SJ-1_74,0.126126946,0.499301582,0.001138367
SJ-1_75,0.146133085,0.534772145,0.001214783
SJ-1_76,0.186024035,0.482673993,0.00153387
SJ-1_77,0.205306683,0.390724674,0.002383609
SJ-1_78,0.172676812,0.464870249,0.001660648
SJ-1_79,0.203853926,0.479758452,0.00203425
SJ-1_80,0.197012994,0.46635946,0.001272367
SJ-1_81,0.20488114,0.505831255,0.001299234
SJ-1_82,0.207362593,0.495443536,0.001188082
SJ-1_83,0.169908589,0.455432026,0.000915395
SJ-1_84,0.154633868,0.459027193,0.001049104
SJ-1_85,0.146016787,0.379183546,0.001166857
SJ-1_86,0.143678913,0.386776447,0.001294294
SJ-1_87,0.139789793,0.322691292,0.001330351
SJ-1_88,0.108832649,0.26950368,0.001793556
SJ-1_89,0.121646237,0.307360845,0.001895878
SJ-1_90,0.144495395,0.270211972,0.001693503
SJ-1_91,0.162412293,0.232947232,0.001602294
SJ-1_92,0.224584874,0.248232226,0.00144689
SJ-1_93,0.128925007,0.196129725,0.001759475
SJ-1_94,0.156003561,0.203026124,0.001521401
SJ-1_95,0.172835149,0.213771217,0.001330888
SJ-1_96,0.131373157,0.233787625,0.001113249
SJ-1_97,0.123285819,0.194106134,0.001859363
SJ-1_98,0.17555406,0.232353465,0.002230742
SJ-1_99,0.192434736,0.244862507,0.00188902
SJ-1_100,0.183429294,0.227080089,0.001468312
SJ-1_101,0.210615724,0.233313416,0.000986178
SJ-1_102,0.169689947,0.275007826,0.001580127
SJ-1_103,0.165493059,0.363935515,0.001980595
SJ-1_104,0.198522196,0.394411416,0.001596141
SJ-1_105,0.217520607,0.339568633,0.00142134
SJ-1_106,0.176606163,0.421353454,0.001531032
SJ-1_107,0.123666119,0.335748793,0.001897141
SJ-1_108,0.165955406,0.239215348,0.001884701
SJ-1_109,0.115616348,0.241942084,0.00131621
SJ-1_110,0.112929025,0.202004704,0.001824214
SJ-1_111,0.223557277,0.254704981,0.002464494
SJ-1_112,0.140118491,0.229460999,0.003319971
SJ-1_113,0.154065418,0.345378851,0.001703642
SJ-1_114,0.174267465,0.238572701,0.002505402
SJ-1_115,0.159093714,0.230828351,0.002672444
SJ-1_116,0.138061862,0.256001538,0.002422742
SJ-1_117,0.115871151,0.199084191,0.004116238
SJ-1_118,0.149178885,0.171099127,0.00249983
SJ-1_119,0.15975385,0.187104986,0.001728578
SJ-1_120,0.193975907,0.183435512,0.001643435
SJ-1_121,0.206536687,0.231061502,0.00222952
SJ-1_122,0.236986405,0.318615404,0.002018198
SJ-1_123,0.193015117,0.196352711,0.002390432
SJ-1_124,0.141380024,0.218842015,0.00141393
SJ-1_125,0.1796119,0.30406594,0.001187884
SJ-1_126,0.179831221,0.317080862,0.00168391
SJ-1_127,0.077257315,0.27688274,0.001359186
SJ-1_128,0.210122356,0.248248068,0.001777623
SJ-1_129,0.30646414,0.271246484,0.001649971
SJ-1_130,0.286534368,0.400503826,0.001717343
SJ-1_131,0.20973238,0.374149982,0.002211505
SJ-1_132,0.150469948,0.404651368,0.00177513
SJ-1_133,0.176425114,0.478199334,0.001629343
SJ-1_134,0.204122385,0.489676834,0.000817592
SJ-1_135,0.156394424,0.341201713,0.001414578
SJ-1_136,0.173593001,0.30184703,0.001371341
SJ-1_137,0.182475016,0.219316709,0.001607673
SJ-1_138,0.221352561,0.268734733,0.001590477
SJ-1_139,0.14825978,0.214114119,0.001594174
SJ-1_140,0.147569214,0.252880737,0.00191765
SJ-1_141,0.188125461,0.375558729,0.002257248
SJ-1_142,0.239941844,0.601101195,0.001718054
SJ-1_143,0.307848591,0.564013159,0.001295607
SJ-1_144,0.317411795,0.647819691,0.001074932
SJ-1_145,0.301456237,0.62658375,0.001154633
SJ-1_146,0.416771474,0.683284796,0.001180082
SJ-1_147,0.395967506,0.875127575,0.001047754
SJ-1_148,0.309956278,0.931586614,0.001038799
SJ-1_149,0.301579811,0.983061357,0.000965219
SJ-1_150,0.301649013,0.935701205,0.00090756
SJ-1_151,0.260631588,0.736706501,0.001492292
SJ-1_152,0.309406184,1.035697005,0.001105566
SJ-1_153,0.243011934,0.837302736,0.000885774
SJ-1_154,0.275170061,0.959565991,0.000999096
SJ-1_155,0.341265879,1.186132561,0.001142035
SJ-1_156,0.334573408,1.143752887,0.00089843
SJ-1_157,0.362232546,1.098606556,0.000841628
SJ-1_158,0.282386392,0.802773139,0.000838757
SJ-1_159,0.302406451,0.881222895,0.001228533
SJ-1_160,0.319906894,0.88746134,0.001093881
SJ-1_161,0.347284337,0.808220594,0.000911257
SJ-1_162,0.297549813,0.936054233,0.000618275
SJ-1_163,0.287590706,0.85824054,0.000583949
SJ-1_164,0.304879348,1.008261722,0.000594879
SJ-1_165,0.215707777,0.625677454,0.000967267
SJ-1_166,0.176938227,0.289715793,0.001504077
SJ-1_167,0.134155115,0.295444442,0.001622803
SJ-1_168,0.126761015,0.274691434,0.001672373
SJ-1_169,0.115198352,0.259559207,0.001720719
SJ-1_170,0.175832527,0.259893643,0.002247131
SJ-1_171,0.192355088,0.248788436,0.003689823
SJ-1_172,0.195568178,0.245067576,0.004279604
SJ-1_173,0.244185867,0.286993126,0.00304106
SJ-1_174,0.198310127,0.314275539,0.001918815
SJ-1_175,0.142443111,0.312793753,0.002061788
SJ-1_176,0.130882497,0.419594421,0.001874053
SJ-1_177,0.126364725,0.51483313,0.001559944
SJ-1_178,0.11219836,0.558467713,0.001179923
SJ-1_179,0.124223772,0.661724818,0.001034114
SJ-1_180,0.150415548,0.721347339,0.001268326
SJ-1_181,0.140291339,0.666097007,0.001056879
SJ-1_182,0.120357514,0.691410919,0.001040897
SJ-1_183,0.110547897,0.771975165,0.001236362
SJ-1_184,0.113517073,0.785865652,0.001246106
SJ-1_185,0.11648625,0.799756139,0.00125585
SJ-1_186,0.13646842,0.722907895,0.001244147
SJ-1_187,0.167012498,0.688110673,0.001350732
SJ-1_188,0.177574406,0.730161695,0.00146902
SJ-1_189,0.133008239,0.565570911,0.00113275
